seat,reg_2018,nonreg_2018,eligible_2018,nonreg_2018_pct,reg_2018_pct,reg_2022,inc,inc_undi18,inc_pct
P.194  Petra Jaya,57925,43493,101418,42.884892228204066,57.115107771795934,109580,51655,8162,89.17565817867933
P.218  Sibuti,31868,22539,54407,41.42665465840793,58.57334534159207,58427,26559,4020,83.34065520271119
P.196  Stampin,66240,46267,112507,41.12366341649853,58.87633658350147,120753,54513,8246,82.2961956521739
P.158  Tebrau,123033,76409,199442,38.31138877468136,61.68861122531864,221237,98204,21795,79.81923548966537
P.219  Miri,80386,53060,133446,39.76140161563479,60.23859838436521,143040,62654,9594,77.94143258776404
P.197  Kota Samarahan,46300,28451,74751,38.061029283889184,61.938970716110816,81624,35324,6873,76.2937365010799
P.182  Pensiangan,31377,18438,49815,37.01294790725685,62.98705209274315,55143,23766,5328,75.7433789081174
P.217  Bintulu,65049,39449,104498,37.75096174089456,62.24903825910544,113255,48206,8757,74.10721148672539
P.193  Santubong,45628,27189,72817,37.33880824532733,62.66119175467267,79395,33767,6578,74.0049969317086
P.199  Serian,37629,23608,61237,38.55185590411026,61.44814409588974,65422,27793,4185,73.86058624996679
P.198  Puncak Borneo,46180,28579,74759,38.228173196538215,61.771826803461785,80017,33837,5258,73.27197921177999
P.107  Sungai Buloh,90707,50700,141407,35.85395348179369,64.1460465182063,156554,65847,15147,72.59307440440098
P.171  Sepanggar,62415,35028,97443,35.94716911425141,64.05283088574859,107034,44619,9591,71.4876231675078
P.180  Keningau,51177,29317,80494,36.42134817501926,63.57865182498074,87355,36178,6861,70.69191238251558
P.168  Kota Marudu,47007,26488,73495,36.04054697598476,63.95945302401524,79993,32986,6498,70.17252749590487
P.102  Bangi,178790,96294,275084,35.00530746971834,64.99469253028167,301311,122521,26227,68.52788187258795
P.220  Baram,35685,20094,55779,36.024310224277954,63.975689775722046,59470,23785,3691,66.65265517724535
P.188  Lahad Datu,60942,29729,90671,32.787771172701305,67.2122288272987,99330,38388,8659,62.991040661612686
P.111  Kota Raja,149021,71384,220405,32.387650007939925,67.61234999206008,242854,93833,22449,62.96629334120695
P.101  Hulu Langat,102363,48397,150760,32.102016449986735,67.89798355001327,165622,63259,14862,61.79869679474028
P.162  Iskandar Puteri,138299,66441,204740,32.45140177786461,67.54859822213538,221347,83048,16607,60.04960267247051
P.191  Kalabakan,52199,24755,76954,32.1685682355693,67.8314317644307,83317,31118,6363,59.61416885380946
P.113  Sepang,104508,46638,151146,30.8562581874479,69.1437418125521,166417,61909,15271,59.23852719409041
P.221  Limbang,26409,12785,39194,32.61978874317498,67.38021125682502,42023,15614,2829,59.12378355863531
P.192  Mas Gading,29617,14393,44010,32.70393092478982,67.29606907521017,47064,17447,3054,58.90873484822906
P.159  Pasir Gudang,124172,58139,182311,31.89001212214293,68.10998787785707,197301,73129,14990,58.89330928067519
P.222  Lawas,21297,9967,31264,31.880117707267143,68.11988229273285,33618,12321,2354,57.85321876320608
P.103  Puchong,96437,44010,140447,31.335663987126814,68.66433601287318,152016,55579,11569,57.63244397897073
P.216  Hulu Rajang,27520,12535,40055,31.29447010360754,68.70552989639246,43317,15797,3262,57.40188953488372
P.017  Padang Serai,84834,36608,121442,30.144431086444555,69.85556891355544,133474,48640,12032,57.33550227503124
P.166  Labuan,28356,13033,41389,31.489042982434945,68.51095701756506,44602,16246,3213,57.29298913810128
P.104  Subang,146422,68219,214641,31.782837388942465,68.21716261105753,230005,83583,15364,57.083634972886586
P.004  Langkawi,42697,18653,61350,30.404237978810105,69.5957620211899,66705,24008,5355,56.22877485537625
P.082  Indera Mahkota,77208,32592,109800,29.683060109289617,70.31693989071039,120055,42847,10255,55.495544503160296
P.161  Pulai,106268,47395,153663,30.8434691500231,69.1565308499769,165139,58871,11476,55.39861482290059
P.097  Selayang,116176,49150,165326,29.729141211908594,70.2708587880914,180368,64192,15042,55.25409723178626
P.183  Beluran,28509,11890,40399,29.431421569840836,70.56857843015916,43919,15410,3520,54.05310603669017
P.187  Kinabatangan,28730,11770,40500,29.06172839506173,70.93827160493827,44177,15447,3677,53.76609815523843
P.213  Mukah,30608,13272,43880,30.2461257976299,69.7538742023701,47034,16426,3154,53.66570831155254
P.117  Segambut,77956,35429,113385,31.24663756228778,68.75336243771221,119768,41812,6383,53.63538406280466
P.108  Shah Alam,107316,43969,151285,29.06368774167961,70.93631225832038,164637,57321,13352,53.41328413284133
P.125  Putrajaya,27306,10854,38160,28.443396226415096,71.5566037735849,41693,14387,3533,52.6880539075661
P.170  Tuaran,54400,22170,76570,28.953898393626748,71.04610160637326,83036,28636,6466,52.63970588235294
P.202  Sri Aman,33016,14126,47142,29.96478723855585,70.03521276144414,50254,17238,3112,52.211049188272355
P.094  Hulu Selangor,100990,40169,141159,28.456563166358507,71.5434368336415,153685,52695,12526,52.17843350826814
P.163  Kulai,99147,40084,139231,28.78956554215656,71.21043445784343,150833,51686,11602,52.13067465480549
P.214  Selangau,30026,12152,42178,28.81122860258903,71.18877139741097,45625,15599,3447,51.95164191034437
P.173  Putatan,41312,17251,58563,29.457165787271826,70.54283421272817,62764,21452,4201,51.926800929512005
P.179  Ranau,43706,17571,61277,28.67470665992134,71.32529334007866,66266,22560,4989,51.61762687045257
P.109  Kapar,124983,47862,172845,27.690705545430877,72.30929445456913,188571,63588,15726,50.877319315426895
P.149  Sri Gading,52119,20671,72790,28.398131611485095,71.6018683885149,78579,26460,5789,50.76843377654981
P.130  Rasah,102838,41326,144164,28.665963763491582,71.33403623650841,155044,52206,10880,50.76528131624497
P.131  Rembau,88365,34744,123109,28.2221446035627,71.7778553964373,133193,44828,10084,50.730492842188646
P.206  Tanjong Manis,21899,8836,30735,28.748983243858795,71.25101675614121,33006,11107,2271,50.719210922873195
P.014  Merbok,87782,34019,121801,27.92998415448149,72.07001584551851,132028,44246,10227,50.404410927069335
P.155  Tenggara,44749,17432,62181,28.03428700085235,71.96571299914766,67234,22485,5053,50.24693289235513
P.015  Sungai Petani,112577,43746,156323,27.984365704342927,72.01563429565707,168979,56402,12656,50.10081988327989
P.115  Batu,76328,31384,107712,29.1369578134284,70.8630421865716,114298,37970,6586,49.74583377004507
P.063  Tambun,107763,41651,149414,27.876236497249252,72.12376350275075,160503,52740,11089,48.94073104869018
P.184  Libaran,47914,17500,65414,26.75268291191488,73.24731708808511,71334,23420,5920,48.87924197520558
P.189  Semporna,48248,16838,65086,25.87038687275297,74.12961312724703,71619,23371,6533,48.439313546675514
P.215  Kapit,30658,11498,42156,27.2748837650631,72.7251162349369,45259,14601,3103,47.62541587840042
P.210  Kanowit,21022,8028,29050,27.63511187607573,72.36488812392427,31030,10008,1980,47.60726857577776
P.096  Kuala Selangor,69397,24687,94084,26.23931805620509,73.7606819437949,102253,32856,8169,47.34498609449977
P.100  Pandan,101319,39158,140477,27.875025804936037,72.12497419506397,148832,47513,8355,46.8944620456183
P.006  Kubang Pasu,73881,26311,100192,26.260579687000956,73.73942031299904,108177,34296,7985,46.42059528160149
P.098  Gombak,141112,51665,192777,26.80039631283815,73.19960368716185,206456,65344,13679,46.30647995918136
P.190  Tawau,59919,21600,81519,26.496890295513932,73.50310970448606,87543,27624,6024,46.102238021328795
P.205  Saratok,30517,11062,41579,26.604776449650064,73.39522355034994,44561,14044,2982,46.02025100763509
P.106  Damansara,164322,61609,225931,27.268944943367668,72.73105505663233,239197,74875,13266,45.56602280887525
P.099  Ampang,91737,33126,124863,26.52987674491242,73.47012325508757,133395,41658,8532,45.4102488635992
P.122  Seputeh,86256,32701,118957,27.4897652092773,72.5102347907227,125226,38970,6269,45.179465776293824
P.071  Gopeng,99167,35607,134774,26.41978423137994,73.58021576862006,143755,44588,8981,44.962537941048936
P.201  Batang Lupar,29811,10675,40486,26.367139258015115,73.63286074198489,43190,13379,2704,44.87940693032773
P.084  Paya Besar,55135,18910,74045,25.53852387061922,74.46147612938078,79794,24659,5749,44.72476648227079
P.207  Igan,19592,6812,26404,25.799121345250718,74.20087865474929,28351,8759,1947,44.70702327480605
P.167  Kudat,52251,17272,69523,24.843576945758958,75.15642305424105,75559,23308,6036,44.60775870318272
P.174  Penampang,53131,18289,71420,25.607672920750492,74.39232707924951,76676,23545,5256,44.31499501232802
P.091  Rompin,61918,21648,83566,25.90527247923797,74.09472752076204,89327,27409,5761,44.26661067863949
P.112  Kuala Langat,102406,33758,136164,24.792162392409153,75.20783760759085,147705,45299,11541,44.2347128097963
P.181  Tenom,29182,9556,38738,24.668284371934533,75.33171562806547,41928,12746,3190,43.67760948529916
P.204  Betong,29145,10059,39204,25.658096112641566,74.34190388735843,41834,12689,2630,43.53748498884886
P.078  Cameron Highlands,32048,10625,42673,24.898647856958732,75.10135214304127,45947,13899,3274,43.36932101847229
P.178  Sipitang,31882,10785,42667,25.277146272294747,74.72285372770526,45668,13786,3001,43.24070008155072
P.128  Seremban,110168,36751,146919,25.01446375213553,74.98553624786447,157526,47358,10607,42.987074286544185
P.212  Sibu,74149,25112,99261,25.298959309295693,74.7010406907043,105891,31742,6630,42.8083993041039
P.088  Temerloh,75081,24537,99618,24.631090766728907,75.3689092332711,106795,31714,7177,42.23971444173626
P.124  Bandar Tun Razak,83650,27624,111274,24.825206247640956,75.17479375235905,118690,35040,7416,41.88882247459653
P.020  Pengkalan Chepa,75384,23068,98452,23.43070734977451,76.56929265022549,106734,31350,8282,41.58707418019739
P.023  Rantau Panjang,66115,20780,86895,23.913919097761667,76.08608090223834,93466,27351,6571,41.36882704378734
P.211  Lanang,61973,20288,82261,24.662963007986775,75.33703699201322,87504,25531,5243,41.1969728752844
P.200  Batang Sadong,23213,7281,30494,23.876828228503967,76.12317177149603,32648,9435,2154,40.6453280489381
P.141  Sekijang,45596,14701,60297,24.380980811649003,75.61901918835099,64076,18480,3779,40.52987104131942
P.110  Klang,149348,48205,197553,24.40104680769211,75.59895319230789,209243,59895,11690,40.10432011141763
P.083  Kuantan,62696,19298,81994,23.535868478181328,76.46413152181867,87659,24963,5665,39.815937220875334
P.186  Sandakan,39777,12149,51926,23.396756923313948,76.60324307668606,55522,15745,3596,39.583176207356004
P.203  Lubok Antu,20801,6486,27287,23.7695605966211,76.2304394033789,29017,8216,1730,39.498101052834
P.208  Sarikei,39561,12438,51999,23.91969076328391,76.08030923671609,55029,15468,3030,39.0991127625692
P.105  Petaling Jaya,140920,44926,185846,24.173778289551564,75.82622171044844,195947,55027,10101,39.0483962531933
P.136  Tangga Batu,83213,24074,107287,22.43887889492669,77.56112110507331,115551,32338,8264,38.86171631836371
P.024  Kubang Kerian,82018,23133,105151,21.999790777072974,78.00020922292703,113746,31728,8595,38.68419127508596
P.154  Mersing,48176,14971,63147,23.708172993174657,76.29182700682534,66721,18545,3574,38.49427100631019
P.157  Pengerang,40479,12323,52802,23.33813113139654,76.66186886860346,55959,15480,3157,38.24205143407693
P.066  Batu Gajah,81399,25390,106789,23.775857063929806,76.2241429360702,112449,31050,5660,38.14543176206096
P.077  Tanjong Malim,68468,20558,89026,23.09213038887516,76.90786961112484,94266,25798,5240,37.67891569784425
P.169  Kota Belud,57919,16121,74040,21.773365748244192,78.22663425175581,79720,21801,5680,37.64049793677377
P.132  Port Dickson,75212,21508,96720,22.237386269644336,77.76261373035567,103434,28222,6714,37.523267563686645
P.073  Pasir Salak,54671,15976,70647,22.613840644330264,77.38615935566973,75171,20500,4524,37.49702767463555
P.081  Jerantut,63609,18239,81848,22.283989834815756,77.71601016518424,87377,23768,5529,37.36578157179016
P.185  Batu Sapi,32574,9134,41708,21.89987532367891,78.10012467632109,44719,12145,3011,37.284337201449006
P.176  Kimanis,29618,8514,38132,22.327703765865937,77.67229623413407,40656,11038,2524,37.26787764197447
P.209  Julau,25380,7258,32638,22.23788222317544,77.76211777682457,34838,9458,2200,37.2655634357762
P.074  Lumut,67157,19059,86216,22.106105595249144,77.89389440475085,92174,25017,5958,37.25151510639249
P.041  Kepala Batas,60523,16150,76673,21.063477364913332,78.93652263508667,82916,22393,6243,36.99915734514151
P.152  Kluang,96915,28326,125241,22.61719404987185,77.38280595012816,132689,35774,7448,36.91275860289945
P.175  Papar,43586,11549,55135,20.94676702638977,79.05323297361022,59650,16064,4515,36.85587115128711
P.116  Wangsa Maju,88482,26222,114704,22.860580276189147,77.13941972381085,120800,32318,6096,36.52494292624488
P.068  Beruas,79794,23160,102954,22.495483419779706,77.5045165802203,108936,29142,5982,36.521542973155874
P.047  Nibong Tebal,73383,19765,93148,21.218920427706443,78.78107957229355,100120,26737,6972,36.43486911137457
P.150  Batu Pahat,98543,28374,126917,22.356343121882805,77.6436568781172,134446,35903,7529,36.433841064306954
P.058  Bagan Serai,59293,16418,75711,21.685091994558253,78.31490800544175,80768,21475,5057,36.21844062536893
P.143  Pagoh,51512,14698,66210,22.199063585561092,77.80093641443891,70167,18655,3957,36.21486255629756
P.010  Kuala Kedah,97753,27271,125024,21.81261197850013,78.18738802149987,133145,35392,8121,36.20553844894786
P.146  Muar,50843,14319,65162,21.97446364445536,78.02553635554465,69196,18353,4034,36.0973978718801
P.164  Pontian,55570,15770,71340,22.105410709279507,77.89458929072049,75594,20024,4254,36.03383120388699
P.045  Bukit Mertajam,88998,24820,113818,21.80674410023019,78.19325589976981,121037,32039,7219,35.99968538618845
P.018  Kulim-Bandar Baharu,66587,18368,84955,21.62085810134777,78.37914189865222,90499,23912,5544,35.91091354168231
P.046  Batu Kawan,65394,17675,83069,21.277492205275134,78.72250779472486,88809,23415,5740,35.80603725112395
P.053  Balik Pulau,59086,15747,74833,21.042855424745767,78.95714457525423,80212,21126,5379,35.75466269505467
P.065  Ipoh Barat,84874,25169,110043,22.871968230600764,77.12803176939923,115058,30184,5015,35.56330560595707
P.059  Bukit Gantang,69873,19355,89228,21.6916214641144,78.3083785358856,94642,24769,5414,35.4485996021353
P.160  Johor Bahru,101409,30167,131576,22.92743357451207,77.07256642548793,137301,35892,5725,35.393308286246786
P.144  Ledang,77474,20752,98226,21.126789241137782,78.87321075886221,104756,27282,6530,35.21439450654413
P.134  Masjid Tanah,51441,13608,65049,20.91961444449569,79.08038555550431,69424,17983,4375,34.95849614121032
P.195  Bandar Kuching,81856,24672,106528,23.160108140582757,76.83989185941724,110416,28560,3888,34.89053948397186
P.019  Tumpat,110924,28193,139117,20.26567565430537,79.73432434569463,149593,38669,10476,34.860805596624715
P.060  Taiping,90729,25908,116637,22.21250546567556,77.78749453432444,122332,31603,5695,34.832302791830614
P.151  Simpang Renggam,43998,11754,55752,21.082651743435214,78.9173482565648,59246,15248,3494,34.656120732760584
P.027  Tanah Merah,73172,18497,91669,20.178031831917007,79.82196816808299,98444,25272,6775,34.53780134477669
P.002  Kangar,55938,14498,70436,20.583224487477995,79.41677551252201,75140,19202,4704,34.32729092924309
P.147  Parit Sulong,59609,15556,75165,20.695802567684428,79.30419743231558,79864,20255,4699,33.9797681558154
P.079  Lipis,35294,9134,44428,20.55910686954173,79.44089313045828,47259,11965,2831,33.900946336487785
P.069  Parit,35910,9293,45203,20.558370019688958,79.44162998031103,48063,12153,2860,33.842940685045946
P.085  Pekan,88899,21692,110591,19.614616017578285,80.38538398242171,118834,29935,8243,33.67304469116638
P.056  Larut,49453,12628,62081,20.341167184806945,79.65883281519305,66076,16623,3995,33.61373425272481
P.032  Gua Musang,52524,11832,64356,18.385232146186837,81.61476785381316,70159,17635,5803,33.57512756073414
P.127  Jempol,72122,19305,91427,21.1152066676146,78.8847933323854,96272,24150,4845,33.48492831590915
P.118  Setiawangsa,72136,19156,91292,20.98321868290759,79.01678131709241,96266,24130,4974,33.45070422535211
P.133  Tampin,60765,16350,77115,21.202100758607276,78.79789924139273,81064,20299,3949,33.40574343783428
P.025  Bachok,92606,21777,114383,19.03866833358104,80.96133166641896,123535,30929,9152,33.39848389953135
P.022  Pasir Mas,71222,17475,88697,19.701906490636663,80.29809350936334,94894,23672,6197,33.236921176041115
P.172  Kota Kinabalu,56220,16044,72264,22.201926270342078,77.79807372965792,74734,18514,2470,32.931341159729634
P.057  Parit Buntar,51860,13251,65111,20.351399917064704,79.6486000829353,68905,17045,3794,32.86733513305052
P.135  Alor Gajah,70364,17277,87641,19.713376159560024,80.28662384043997,93482,23118,5841,32.854868967085444
P.028  Pasir Puteh,85411,19868,105279,18.87175980015008,81.12824019984993,113471,28060,8192,32.85291121752468
P.009  Alor Setar,80272,20898,101170,20.656321043787685,79.34367895621232,106638,26366,5468,32.84582419772772
P.054  Gerik,35903,8442,44345,19.0370955011839,80.9629044988161,47628,11725,3283,32.657438097094946
P.008  Pokok Sena,86892,21724,108616,20.00073653973632,79.99926346026368,115207,28315,6591,32.58642913041477
P.093  Sungai Besar,48739,12024,60763,19.788358046837715,80.21164195316229,64598,15859,3835,32.53862409979688
P.148  Ayer Hitam,46157,11125,57282,19.421458747948744,80.57854125205125,61170,15013,3888,32.525944060489195
P.165  Tanjung Piai,53528,13293,66821,19.893446670956735,80.10655332904327,70937,17409,4116,32.52316544612165
P.145  Bakri,73883,18807,92690,20.29021469414176,79.70978530585825,97909,24026,5219,32.518982715915705
P.137  Hang Tuah Jaya,89364,21511,110875,19.401127395715896,80.59887260428411,118417,29053,7542,32.51085448278949
P.042  Tasek Gelugor,60850,14373,75223,19.10718796112891,80.89281203887109,80467,19617,5244,32.23829087921117
P.062  Sungai Siput,55002,13611,68613,19.83734860740676,80.16265139259323,72662,17660,4049,32.10792334824188
P.156  Kota Tinggi,46677,11936,58613,20.364083053247573,79.63591694675243,61649,14972,3036,32.075754654326545
P.076  Teluk Intan,66487,16963,83450,20.32714200119832,79.67285799880167,87798,21311,4348,32.05288251838706
P.095  Tanjong Karang,47198,11223,58421,19.210557847349413,80.7894421526506,62278,15080,3857,31.95050637738887
P.119  Titiwangsa,61598,15819,77417,20.433496518852447,79.56650348114755,81277,19679,3860,31.94746582681256
P.052  Bayan Baru,90780,22371,113151,19.770925577325873,80.22907442267413,119761,28981,6610,31.924432694426088
P.012  Jerai,79976,18791,98767,19.025585468830684,80.97441453116932,105440,25464,6673,31.839551865559667
P.031  Kuala Krai,70348,15701,86049,18.24658043672791,81.75341956327209,92570,22222,6521,31.588673451981574
P.139  Jasin,73432,16798,90230,18.616868003989804,81.38313199601019,96520,23088,6290,31.441333478592437
P.072  Tapah,47128,11622,58750,19.78212765957447,80.21787234042553,61908,14780,3158,31.361398743846546
P.044  Permatang Pauh,81789,18774,100563,18.668894126070224,81.33110587392977,107419,25630,6856,31.336732323417575
P.001  Padang Besar,46096,10720,56816,18.867924528301888,81.13207547169812,60411,14315,3595,31.05475529330094
P.080  Raub,57723,13847,71570,19.347491965907505,80.65250803409249,75535,17812,3965,30.857717027874504
P.026  Ketereh,65238,14187,79425,17.862134088762986,82.13786591123701,85356,20118,5931,30.837855237744872
P.021  Kota Bharu,88708,21047,109755,19.176347319028746,80.82365268097125,116001,27293,6246,30.767236325923253
P.114  Kepong,72696,18303,90999,20.113407839646587,79.88659216035342,94932,22236,3933,30.58765269065698
P.070  Kampar,69436,17144,86580,19.8013398013398,80.1986601986602,90627,21191,4047,30.518751080131345
P.086  Maran,41036,9154,50190,18.23869296672644,81.76130703327357,53496,12460,3306,30.363583195243198
P.029  Machang,68387,14808,83195,17.799146583328326,82.20085341667168,89007,20620,5812,30.151929460277536
P.138  Kota Melaka,126848,29058,155906,18.638153759316513,81.36184624068349,164872,38024,8966,29.97603430877901
P.064  Ipoh Timor,91486,22879,114365,20.005246360337516,79.99475363966249,118805,27319,4440,29.86139955840238
P.177  Beaufort,33342,7555,40897,18.473237645793088,81.52676235420691,43274,9932,2377,29.78825505368604
P.089  Bentong,67359,15389,82748,18.597428336636533,81.40257166336346,87407,20048,4659,29.76291215724699
P.090  Bera,58711,13245,71956,18.40708210573128,81.59291789426872,76180,17469,4224,29.754219822520483
P.123  Cheras,78819,19432,98251,19.777915746404616,80.22208425359538,102051,23232,3800,29.475126555779696
P.040  Kemaman,107593,20660,128253,16.108784979688583,83.89121502031142,139061,31468,10808,29.24725586237023
P.033  Besut,86627,16711,103338,16.17120517137936,83.82879482862064,111524,24897,8186,28.740461980675768
P.087  Kuala Krau,47264,9971,57235,17.42115838210885,82.57884161789116,60821,13557,3586,28.683564658090727
P.007  Padang Terap,46644,9622,56266,17.10091351793268,82.89908648206732,60007,13363,3741,28.648915187376726
P.051  Bukit Gelugor,91595,20358,111953,18.184416674854624,81.81558332514538,117670,26075,5717,28.4677111196026
P.067  Kuala Kangsar,36954,7789,44743,17.40830967972644,82.59169032027356,47275,10321,2532,27.929317529902043
P.039  Dungun,90506,16312,106818,15.270834503548091,84.72916549645191,115516,25010,8698,27.633527058979517
P.129  Kuala Pilah,49801,10589,60390,17.534359993376388,82.46564000662362,63518,13717,3128,27.543623622015623
P.121  Lembah Pantai,80346,18002,98348,18.30438849798674,81.69561150201326,102410,22064,4062,27.461230179473777
P.003  Arau,48187,9418,57605,16.34927523652461,83.6507247634754,61258,13071,3653,27.125573287401167
P.030  Jeli,47470,8827,56297,15.679343481890687,84.32065651810932,60282,12812,3985,26.989677691173377
P.011  Pendang,74867,14355,89222,16.089081168321716,83.91091883167829,95072,20205,5850,26.987858469018395
P.092  Sabak Bernam,40863,7789,48652,16.009619337334538,83.99038066266546,51775,10912,3123,26.703864131365783
P.140  Segamat,55350,11344,66694,17.009026299217318,82.99097370078269,70039,14689,3345,26.538392050587174
P.035  Kuala Nerus,83663,14192,97855,14.5030913085688,85.4969086914312,105592,21929,7737,26.211108853376043
P.061  Padang Rengas,30996,6007,37003,16.233818879550306,83.76618112044969,38998,8002,1995,25.816234352819716
P.005  Jerlun,54132,10031,64163,15.633620622477128,84.36637937752288,67950,13818,3787,25.526490800266018
P.153  Sembrong,44137,8552,52689,16.231091878760274,83.76890812123972,55403,11266,2714,25.525069669438338
P.037  Marang,104898,17204,122102,14.089859297963997,85.910140702036,131622,26724,9520,25.476176857518734
P.013  Sik,50385,8866,59251,14.96346053231169,85.03653946768831,63181,12796,3930,25.396447355363698
P.043  Bagan,71583,13852,85435,16.213495639960204,83.7865043600398,89745,18162,4310,25.371945853065668
P.055  Lenggong,29752,5440,35192,15.458058649693113,84.54194135030689,37173,7421,1981,24.94286098413552
P.075  Bagan Datuk,47309,8870,56179,15.788817885686823,84.21118211431317,58971,11662,2792,24.650700712338033
P.142  Labis,40356,7541,47897,15.744201098189867,84.25579890181014,50292,9936,2395,24.62087421944692
P.034  Setiu,86247,13522,99769,13.553308141807577,86.44669185819242,107267,21020,7498,24.371862209700048
P.048  Bukit Bendera,75069,14636,89705,16.315701465916057,83.68429853408395,93006,17937,3301,23.894017503896414
P.016  Baling,107213,15506,122719,12.635370236067764,87.36462976393224,132712,25499,9993,23.783496404353947
P.126  Jelebu,48522,8653,57175,15.134236991692173,84.86576300830782,60051,11529,2876,23.760356127117596
P.050  Jelutong,76991,13641,90632,15.050975372936712,84.9490246270633,94548,17557,3916,22.803964099699964
P.038  Hulu Terengganu,73487,9142,82629,11.063912185794333,88.93608781420566,88085,14598,5456,19.864737980867364
P.036  Kuala Terengganu,103611,13326,116937,11.395879832730445,88.60412016726956,123714,20103,6777,19.40238005617164
P.120  Bukit Bintang,69526,9329,78855,11.830575106207595,88.16942489379241,80918,11392,2063,16.38523717745879
P.049  Tanjong,49586,2692,52278,5.149393626382034,94.85060637361796,53298,3712,1020,7.485983947081838
